mapping,regime_count,seed,is_sharpe,oos_sharpe,oos_max_dd
aggressive,3,42,0.7011949336836926,0.23776774904668588,-0.1725262345112843
aggressive,3,2026,0.6214577337120402,0.16967758421974705,-0.17252623451128452
aggressive,4,42,0.7624717702436826,-0.028239787358208677,-0.17397349361890097
aggressive,4,2026,0.7801472397715158,-0.028239787358208677,-0.17397349361890097
aggressive,6,42,0.9243672751475971,-0.2163617829791855,-0.17310673802751952
aggressive,6,2026,0.8046525627076928,-0.2163617829791855,-0.17310673802751952
aggressive_trend_ema,3,42,0.5800147757249183,0.16502820131680082,-0.13874883104879873
aggressive_trend_ema,3,2026,0.4500232377377513,0.09109222473492394,-0.1387488310488006
aggressive_trend_ema,4,42,0.5346218108330681,-0.04233711668968419,-0.16017126881874388
aggressive_trend_ema,4,2026,0.592318072276484,-0.04233711668968419,-0.16017126881874388
aggressive_trend_ema,6,42,0.8205439693832253,-0.1363698847051205,-0.14710786369446552
aggressive_trend_ema,6,2026,0.7186624675072056,-0.1363698847051205,-0.14710786369446552
aggressive_trend_sma,3,42,0.7386209489843734,-0.047953485232198945,-0.1837975928230353
aggressive_trend_sma,3,2026,0.5363543366383386,-0.12970656756475157,-0.1837975928230362
aggressive_trend_sma,4,42,0.6616480979637006,-0.12599903503423593,-0.17500413836709497
aggressive_trend_sma,4,2026,0.7170557983960083,-0.12599903503423593,-0.17500413836709497
aggressive_trend_sma,6,42,0.6735430274649075,-0.23191565124166066,-0.1625712179725731
aggressive_trend_sma,6,2026,0.5418412096342804,-0.23191565124166066,-0.1625712179725731
aggressive_vol_t_10,3,42,0.7730845076842006,-0.09014051795217125,-0.14835822462166684
aggressive_vol_t_10,3,2026,0.6093351282254332,-0.16788233512037454,-0.14835822462166773
aggressive_vol_t_10,4,42,0.7722888637891964,-0.35826877985454014,-0.15876667525615518
aggressive_vol_t_10,4,2026,0.79291922837307,-0.35826877985454014,-0.15876667525615518
aggressive_vol_t_10,6,42,0.881100329954375,-0.5858538855332693,-0.15900308770003885
aggressive_vol_t_10,6,2026,0.7950030650362259,-0.5858538855332693,-0.15900308770003885
aggressive_vol_t_12,3,42,0.7648331853780983,-0.1126441689843862,-0.17078106696673365
aggressive_vol_t_12,3,2026,0.6021477229911254,-0.1907260360797384,-0.17078106696673317
aggressive_vol_t_12,4,42,0.7556962847327698,-0.38645080066176585,-0.1841359427174262
aggressive_vol_t_12,4,2026,0.7772368309860482,-0.38645080066176585,-0.1841359427174262
aggressive_vol_t_12,6,42,0.8626694131028194,-0.6002922249262364,-0.18209041887810803
aggressive_vol_t_12,6,2026,0.7667254310887813,-0.6002922249262364,-0.18209041887810803
aggressive_vol_t_15,3,42,0.821305973652485,-0.02544609607507108,-0.17426406748881523
aggressive_vol_t_15,3,2026,0.665831323411267,-0.09784579310877682,-0.1742640674888146
aggressive_vol_t_15,4,42,0.7965250417211218,-0.3098033835516174,-0.1882613793065295
aggressive_vol_t_15,4,2026,0.8183837460197032,-0.3098033835516174,-0.1882613793065295
aggressive_vol_t_15,6,42,0.9368610400148903,-0.5156403820557538,-0.18743190407624477
aggressive_vol_t_15,6,2026,0.8155291198227411,-0.5156403820557538,-0.18743190407624477
balanced,3,42,0.7449589484483623,0.1603475298888042,-0.17020309768318503
balanced,3,2026,0.6626255824219924,0.10078912564003013,-0.17020309768318367
balanced,4,42,0.791518092398779,-0.04737839324225047,-0.16580815840928864
balanced,4,2026,0.8075747151464182,-0.04737839324225047,-0.16580815840928864
balanced,6,42,0.8889938579217951,-0.2298281208075983,-0.15767879212551672
balanced,6,2026,0.7412308120844404,-0.2298281208075983,-0.15767879212551672
balanced_trend_ema,3,42,0.6204817520305201,0.10309920232076653,-0.14170340851750568
balanced_trend_ema,3,2026,0.4929565135146844,0.03877439098414434,-0.14170340851750343
balanced_trend_ema,4,42,0.5575294295961998,-0.05511605405376904,-0.154347556300907
balanced_trend_ema,4,2026,0.6104037809447044,-0.05511605405376904,-0.154347556300907
balanced_trend_ema,6,42,0.827130616076548,-0.123357211025848,-0.12702173301336822
balanced_trend_ema,6,2026,0.7007679646670275,-0.123357211025848,-0.12702173301336822
balanced_trend_sma,3,42,0.7322056532696404,-0.0963645277516695,-0.18174140858374566
balanced_trend_sma,3,2026,0.5465930910491479,-0.16636474902013546,-0.18174140858374474
balanced_trend_sma,4,42,0.6735574268899381,-0.12653481929878851,-0.16692354982078933
balanced_trend_sma,4,2026,0.7247616080394675,-0.12653481929878851,-0.16692354982078933
balanced_trend_sma,6,42,0.6847567788070512,-0.22233482316812647,-0.14263580240421284
balanced_trend_sma,6,2026,0.5209875670153369,-0.22233482316812647,-0.14263580240421284
balanced_vol_t_10,3,42,0.8079483662067155,-0.18655460029541543,-0.14758037356797343
balanced_vol_t_10,3,2026,0.6465246013447707,-0.2548238183918424,-0.1475803735679732
balanced_vol_t_10,4,42,0.7812269015234933,-0.38803880209483216,-0.1513466478410005
balanced_vol_t_10,4,2026,0.8000834344986401,-0.38803880209483216,-0.1513466478410005
balanced_vol_t_10,6,42,0.8720855798111546,-0.6066338505546716,-0.14399514193311042
balanced_vol_t_10,6,2026,0.7559475389773799,-0.6066338505546716,-0.14399514193311042
balanced_vol_t_12,3,42,0.8012456890691229,-0.20577555854933205,-0.17188437300231146
balanced_vol_t_12,3,2026,0.6414124926558759,-0.2743814092411619,-0.17188437300231033
balanced_vol_t_12,4,42,0.7701265955666571,-0.41025518683421053,-0.1744677183175811
balanced_vol_t_12,4,2026,0.78983155566687,-0.41025518683421053,-0.1744677183175811
balanced_vol_t_12,6,42,0.851769398832321,-0.6161424450491325,-0.16614034917822132
balanced_vol_t_12,6,2026,0.7261588823850612,-0.6161424450491325,-0.16614034917822132
balanced_vol_t_15,3,42,0.8636470941642695,-0.11483294070634617,-0.1717297441883524
balanced_vol_t_15,3,2026,0.7106431986678076,-0.1783599324958535,-0.17172974418835313
balanced_vol_t_15,4,42,0.8156297081646071,-0.3319340555396766,-0.17843549807168432
balanced_vol_t_15,4,2026,0.8358490441364881,-0.3319340555396766,-0.17843549807168432
balanced_vol_t_15,6,42,0.9233490192354677,-0.529420052364855,-0.17119797840273068
balanced_vol_t_15,6,2026,0.7688351570026679,-0.529420052364855,-0.17119797840273068
conservative,3,42,0.7827265939871244,0.08970540211476365,-0.1366971295398068
conservative,3,2026,0.6986269496692523,0.027928677966257368,-0.13669712953980648
conservative,4,42,0.8311671232755141,-0.0804965514640484,-0.12755180605345892
conservative,4,2026,0.8493036713457406,-0.0804965514640484,-0.12755180605345892
conservative,6,42,0.8312877795875058,-0.309925626374643,-0.12254924192218497
conservative,6,2026,0.6145906238747819,-0.309925626374643,-0.12254924192218497
conservative_trend_ema,3,42,0.6546195381410286,0.047223614551979244,-0.11639242814068847
conservative_trend_ema,3,2026,0.5301932508595968,-0.019203720136435894,-0.11639242814068924
conservative_trend_ema,4,42,0.5891365588420591,-0.07716030573902165,-0.12010283514919322
conservative_trend_ema,4,2026,0.6473780266667923,-0.07716030573902165,-0.12010283514919322
conservative_trend_ema,6,42,0.8328965705443386,-0.144203472605854,-0.0880759036582841
conservative_trend_ema,6,2026,0.6496709853454217,-0.144203472605854,-0.0880759036582841
conservative_trend_sma,3,42,0.7215878265801925,-0.13825815394067492,-0.14630313829806357
conservative_trend_sma,3,2026,0.5528449750314073,-0.2096223945569306,-0.14630313829806266
conservative_trend_sma,4,42,0.6754253972039682,-0.13699419038139818,-0.12884354982528637
conservative_trend_sma,4,2026,0.7323938872949267,-0.13699419038139818,-0.12884354982528637
conservative_trend_sma,6,42,0.686809426573923,-0.24467892853411574,-0.10077283931669333
conservative_trend_sma,6,2026,0.44966192570496927,-0.24467892853411574,-0.10077283931669333
conservative_vol_t_10,3,42,0.8349824218364413,-0.2731562634763254,-0.12093920646105107
conservative_vol_t_10,3,2026,0.6769269656465459,-0.3441317511707851,-0.12093920646105208
conservative_vol_t_10,4,42,0.7918780134622642,-0.4360640421387813,-0.11695237094813063
conservative_vol_t_10,4,2026,0.8128405691641649,-0.4360640421387813,-0.11695237094813063
conservative_vol_t_10,6,42,0.8506244567055695,-0.703104713442695,-0.11293017129558627
conservative_vol_t_10,6,2026,0.673070609623348,-0.703104713442695,-0.11293017129558627
conservative_vol_t_12,3,42,0.8297956547997463,-0.289388084541197,-0.1401469429254538
conservative_vol_t_12,3,2026,0.6738482254817734,-0.36074644255834587,-0.14014694292545377
conservative_vol_t_12,4,42,0.7883479293216491,-0.4505065176680403,-0.13395022751216093
conservative_vol_t_12,4,2026,0.8103130681573356,-0.4505065176680403,-0.13395022751216093
conservative_vol_t_12,6,42,0.8305718901167914,-0.7037022265422903,-0.12831361725589055
conservative_vol_t_12,6,2026,0.6414469156622634,-0.7037022265422903,-0.12831361725589055
conservative_vol_t_15,3,42,0.8973944351828186,-0.19534618614731677,-0.13910142829401761
conservative_vol_t_15,3,2026,0.7479875639802471,-0.2613650062754769,-0.13910142829401725
conservative_vol_t_15,4,42,0.841095792458559,-0.36877854090889084,-0.13687837057335034
conservative_vol_t_15,4,2026,0.8639804865627256,-0.36877854090889084,-0.13687837057335034
conservative_vol_t_15,6,42,0.9006760094166271,-0.6123349183668313,-0.13245793079276322
conservative_vol_t_15,6,2026,0.6723261327970099,-0.6123349183668313,-0.13245793079276322
